city,pop,GDP,avrgGDP,avrgGDP$,lon,lat
郴州,458.18,1081.8,23611,3488,113.032066,25.793589
南充,627.86,827.82,13185,1948,106.082977,30.79528
漳州,481.0,1400.71,29121,4302,117.661804,24.510897
台州,596.88,2415.12,40462,5977,121.428596,28.661379
天水,326.25,300.22,9202,1359,105.723667,34.578629
莆田,277.85,816.98,29404,4344,119.012875,25.437914
佛山,719.43,5651.52,78555,11604,113.122719,23.028763
北京,1961.24,13777.9,70251,10378,116.405289,39.904987
拉萨,55.94,178.91,31981,4724,91.125071,29.655245
中山,312.09,1826.32,58519,8645,113.384311,22.519714
西安,846.78,3241.49,38280,5655,108.948021,34.263161
西宁,220.87,628.28,28446,4202,101.780465,36.623417
海口,204.62,590.55,28861,4263,110.328778,20.014635
黔东南苗族侗族自治州,348.06,0.0,0,0,107.976052,26.582994
绍兴,491.22,2782.74,56650,8368,120.582115,29.997116
湖州,289.35,1301.56,44982,6645,120.095378,30.867334
达州,546.81,819.2,14981,2213,107.502258,31.209484
湘潭,374.86,894.01,23849,3523,112.944105,27.826147
黄石,242.93,687.0,28280,4177,115.028579,30.193668
宿迁,471.56,1015.21,21529,3180,118.275162,33.963009
毕节,653.64,600.85,9192,1358,105.285011,27.301693
金华,536.16,2094.7,39069,5771,119.649506,29.089523
芜湖,226.3,1108.63,48989,7237,118.385206,31.33356
乐山,323.58,743.92,22991,3396,103.755719,29.586718
亳州,485.07,0.0,0,0,115.775404,33.83322
乌鲁木齐,311.03,1311.0,42151,6227,87.608699,43.82248
茂名,581.78,1492.09,25647,3789,110.919228,21.659752
九江,472.88,1032.06,21825,3224,115.992813,29.712034
抚州,391.23,630.01,16103,2379,116.359501,27.946029
廊坊,435.88,1331.1,30538,4511,116.704437,39.523926
厦门,353.13,2053.74,58157,8591,118.043783,24.494619
昆明,643.2,2120.37,32966,4870,102.71225,25.040609
深圳,1035.79,9510.91,91822,13564,114.085945,22.547001
宁波,760.57,5125.82,67394,9956,121.549789,29.868387
黄冈,616.21,862.3,13994,2067,114.879364,30.447712
秦皇岛,298.76,930.49,31145,4601,119.575643,39.9479
十堰,334.08,736.8,22054,3258,110.775216,32.629395
文山壮族苗族自治州,351.79,0.0,0,0,104.235292,23.378755
银川,199.31,763.26,38295,5657,106.2384,38.469009
呼和浩特,286.66,1865.71,65084,9614,111.749909,40.736735
合肥,570.2,2702.5,47396,7001,117.283043,31.861191
柳州,375.87,1260.3,33530,4953,109.43544,24.323381
南宁,666.16,1800.43,27027,3992,108.320007,22.82402
东莞,822.02,4246.25,51656,7631,113.746262,23.046238
孝感,481.45,800.67,16630,2457,113.926659,30.926422
株洲,385.56,1274.8,33064,4884,113.12328,27.8334
成都,1404.76,5551.3,39518,5838,104.065735,30.659462
珠海,156.02,1202.58,77077,11386,113.261246,22.298781
三明,250.34,972.71,38856,5740,117.634884,26.26901
温州,912.21,2925.57,32071,4738,120.672112,28.000574
上饶,657.97,901.0,13694,2023,117.971184,28.44442
上海,2301.91,16872.42,73297,10828,121.472641,31.231707
邵阳,707.18,730.33,10327,1526,111.469231,27.237843
玉溪,230.4,736.5,31966,4722,102.552577,24.418306
武汉,978.54,5515.76,56367,8327,114.298569,30.584354
襄阳,550.03,1538.3,27968,4131,112.14415,32.042427
曲靖,585.5,1005.5,17173,2537,103.797852,25.501556
巴音郭楞蒙古自治州,127.9,0.0,0,0,86.14479,41.763054
哈尔滨,1063.6,3665.9,34467,5092,126.642464,45.756966
汕尾,293.57,469.99,16009,2365,115.205358,22.861869
青岛,871.51,5666.19,65016,9604,120.355171,36.082981
